frame_index,time_sec,point_count,imu_status,imu_status_label,mapping_confidence
662,66.202117709,19968,0,stable,high
663,66.30148122300001,19968,0,stable,high
664,66.401602886,20064,0,stable,high
665,66.50192247700001,19968,0,stable,high
666,66.601870312,19968,0,stable,high
667,66.70181840000001,20064,0,stable,high
668,66.80189629,19968,0,stable,high
669,66.902000089,19968,0,stable,high
670,67.001813469,20064,0,stable,high
671,67.10198815700001,19968,0,stable,high
672,67.20156738200001,20064,0,stable,high
673,67.30157733600001,19968,0,stable,high
674,67.401697036,19968,0,stable,high
675,67.502054349,20064,0,stable,high
676,67.601930554,19968,0,stable,high
677,67.701925069,19968,0,stable,high
678,67.80163760800001,20064,0,stable,high
679,67.901701234,19968,0,stable,high
680,68.001546351,19968,0,stable,high
681,68.101921524,20064,0,stable,high
682,68.202001552,19968,0,stable,high
683,68.30175218800001,19968,0,stable,high
684,68.401675111,20064,0,stable,high
685,68.50189129500001,19968,0,stable,high
686,68.602063333,19968,0,stable,high
687,68.701707196,20064,0,stable,high
688,68.802291827,19968,0,stable,high
689,68.902397738,19968,0,stable,high
690,69.00172586400001,20064,0,stable,high
691,69.101527425,19968,0,stable,high
692,69.201761026,19968,0,stable,high
693,69.301584749,20064,0,stable,high
694,69.401549736,19968,0,stable,high
695,69.50169861,19968,0,stable,high
696,69.60191958600001,20064,0,stable,high
697,69.70192163600001,19968,0,stable,high
698,69.80200245600001,19968,0,stable,high
699,69.90193406200001,20064,0,stable,high
700,70.00200524600001,19968,0,stable,high
701,70.101707273,20064,0,stable,high
702,70.20155917400001,19968,0,stable,high
703,70.301489133,19968,0,stable,high
704,70.40117403100001,19968,0,stable,high
705,70.501689463,20064,0,stable,high
706,70.60202520200001,19968,0,stable,high
707,70.70192311000001,20064,0,stable,high
708,70.802102987,19968,0,stable,high
709,70.902690025,20064,0,stable,high
710,71.001454247,19968,0,stable,high
711,71.10204015100001,19968,0,stable,high
712,71.201840285,19968,0,stable,high
713,71.301791846,19968,0,stable,high
714,71.40249410700001,20064,0,stable,high
715,71.50182768500001,19968,0,stable,high
716,71.60202518,19968,0,stable,high
717,71.701902156,20064,0,stable,high
718,71.80174951400001,19968,0,stable,high
719,71.902120468,19968,0,stable,high
720,72.001951995,20064,0,stable,high
721,72.10213134700001,19968,0,stable,high
722,72.20171350300001,19968,0,stable,high
723,72.30252217900001,20064,0,stable,high
724,72.401799753,19968,0,stable,high
725,72.50116601,20064,0,stable,high
726,72.60183026,19968,0,stable,high
727,72.701737861,19968,0,stable,high
728,72.801855829,20064,0,stable,high
729,72.902379678,19968,0,stable,high
730,73.001912907,19968,0,stable,high
731,73.102073049,19968,0,stable,high
732,73.201598698,20064,0,stable,high
733,73.30171635500001,19968,0,stable,high
734,73.402107688,19968,0,stable,high
735,73.502075554,20064,0,stable,high
736,73.601802163,19968,0,stable,high
737,73.702074295,19968,0,stable,high
738,73.801649068,20064,0,stable,high
739,73.90207020400001,19968,0,stable,high
740,74.00202888000001,19968,0,stable,high
741,74.10162442400001,20064,0,stable,high
742,74.20193657600001,19968,0,stable,high
